time,epoch,lr,train_loss
2023-05-06 01:14:49.801608,0,7.5e-05,0.07577785846006303
2023-05-06 01:55:03.326242,1,0.00015,0.044327872178206836
2023-05-06 02:35:27.275376,2,0.000225,0.037297866894682494
2023-05-06 03:15:53.138595,3,0.0003,0.033904652282155806
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_penalty,val_average_precision_kick-off,val_average_precision_goal,val_average_precision_substitution,val_average_precision_offside,val_average_precision_shots on target,val_average_precision_shots off target,val_average_precision_clearance,val_average_precision_ball out of play,val_average_precision_throw-in,val_average_precision_foul,val_average_precision_indirect free-kick,val_average_precision_direct free-kick,val_average_precision_corner,val_average_precision_card,val_binary_accuracy,val_binary_accuracy_penalty,val_binary_accuracy_kick-off,val_binary_accuracy_goal,val_binary_accuracy_substitution,val_binary_accuracy_offside,val_binary_accuracy_shots on target,val_binary_accuracy_shots off target,val_binary_accuracy_clearance,val_binary_accuracy_ball out of play,val_binary_accuracy_throw-in,val_binary_accuracy_foul,val_binary_accuracy_indirect free-kick,val_binary_accuracy_direct free-kick,val_binary_accuracy_corner,val_binary_accuracy_card
2023-05-06 04:15:00.451977,0,0.00029817,0.031123355334566383,0.02752573757380423,0.6412657695311117,0.33936116124269317,0.7575610947605231,0.5927272003169269,0.6675435294257944,0.169835636962605,0.4546563229481489,0.5215361339736638,0.7520996869932722,0.8890119798229676,0.9408359671005198,0.7187064857759122,0.6832128426490965,0.6223394471564168,0.9495929690363228,0.5599660848018135,0.978743810268439,0.9982799061767006,0.9982799061767006,0.9757623143080532,0.9867083659108679,0.9851446442533229,0.9626270523846755,0.9685691946833463,0.9842064112587959,0.9255668491008601,0.981704456606724,0.9629397967161846,0.9815480844409695,0.9878029710711493,0.9939014855355747,0.9881157154026583
2023-05-06 05:04:50.400043,1,0.00029273,0.028978967677239204,0.028795418003515764,0.6528152296355866,0.3148358018758921,0.7736812141705789,0.5590067756777554,0.6968511121331191,0.22462887887637825,0.48374033932781596,0.5753940620892142,0.590166988940523,0.8935704416860488,0.9574851009867792,0.7259925463901994,0.7037275362072658,0.612042003951852,0.9570832053461543,0.7240224368742199,0.9795152462861612,0.9979671618451915,0.9979671618451915,0.9751368256450352,0.9901485535574668,0.9840500390930415,0.9629397967161846,0.9695074276778733,0.9815480844409695,0.9301016419077405,0.9837372947615325,0.9632525410476935,0.9831118060985145,0.9892103205629398,0.9945269741985927,0.9895230648944487
2023-05-06 05:54:35.703751,2,0.00028381,0.027021520576452837,0.024656082040994214,0.6787657211798731,0.3340106639796233,0.7788042990876919,0.6018328238360814,0.6382739184614277,0.33504452803607365,0.48732224837412624,0.5756347509734487,0.7636505412314386,0.9011367953333096,0.9613361978978284,0.7380631049409082,0.7237949333562688,0.6494604029296508,0.9566565884480693,0.7364640208121492,0.9805264529580401,0.9984362783424551,0.998123534010946,0.9792025019546521,0.9881157154026583,0.9863956215793589,0.9616888193901486,0.9690383111806099,0.9868647380766223,0.9313526192337764,0.9867083659108679,0.9640344018764659,0.984831899921814,0.9892103205629398,0.9951524628616106,0.9887412040656763
2023-05-06 06:44:15.895003,3,0.00027164,0.025729522112136024,0.023924524002483027,0.6949362656026239,0.34996674076492734,0.7709395607390196,0.6604407830047356,0.662850858936414,0.3795000906265559,0.49882537184715375,0.5534112255401467,0.7807354838785616,0.9086052795616075,0.9634074187292013,0.7571662160831765,0.7364554239554322,0.6444828117575035,0.9598599003596281,0.7973968182552938,0.981495960385718,0.9985926505082096,0.998123534010946,0.9777951524628616,0.9899921813917123,0.9859265050820953,0.96278342455043,0.9712275215011728,0.9871774824081313,0.9349491790461298,0.9867083659108679,0.9674745895230649,0.983893666927287,0.9901485535574668,0.9962470680218921,0.9913995308835027
2023-05-06 07:34:00.004374,4,0.00025651,0.02437151646110749,0.025841099449898878,0.6928506308253181,0.3517427368958769,0.7598289149636784,0.6742906165694839,0.6918770833379462,0.40322105280999937,0.5405568726085368,0.5925548684554045,0.5860656200030638,0.9132754386056373,0.9650901433737115,0.7634605844275951,0.7458478817665395,0.6590898016400638,0.9547476588033865,0.7911101881188485,0.9819442272608808,0.9984362783424551,0.997810789679437,0.980766223612197,0.9893666927286943,0.9871774824081313,0.964347146207975,0.9721657544956998,0.9832681782642689,0.9377638780297107,0.9879593432369038,0.9676309616888193,0.9842064112587959,0.9904612978889757,0.9959343236903831,0.9918686473807662
2023-05-06 08:23:48.866967,5,0.00023879,0.02379502608702109,0.021959029632689548,0.7176219377043699,0.32582586655259677,0.7587229738674173,0.654811964730953,0.6894552328306078,0.44700544443140355,0.5552300922257397,0.6018693478211209,0.8780312831446335,0.9169375910578452,0.965584612134571,0.7673885543087032,0.7710529075107384,0.6408377087333443,0.9655636260975422,0.8260118601183314,0.9833203023195206,0.9984362783424551,0.9982799061767006,0.981391712275215,0.9885848318999219,0.9878029710711493,0.9677873338545739,0.9713838936669272,0.9940578577013292,0.9394839718530101,0.9896794370602033,0.9682564503518374,0.9856137607505864,0.9903049257232213,0.9964034401876466,0.9923377638780297
2023-05-06 09:13:35.212463,6,0.00021892,0.02232894376362678,0.02096512123665516,0.730040808895935,0.3603207217869618,0.7917888894098483,0.6991303667066688,0.701760570976897,0.4923178518000724,0.5628967287183447,0.6137055882907283,0.8514861058506777,0.9263233435794427,0.9717965838086435,0.7675198492513674,0.7783731513992329,0.6393413577011514,0.9509200569878452,0.8429309671711426,0.9838102684388846,0.9982799061767006,0.9982799061767006,0.9845191555903049,0.9896794370602033,0.9876465989053949,0.9685691946833463,0.9712275215011728,0.9895230648944487,0.9429241594996091,0.9898358092259578,0.9674745895230649,0.9857701329163409,0.9917122752150117,0.9971853010164191,0.9945269741985927
2023-05-06 10:03:27.372736,7,0.00019739,0.02156614845702519,0.024294382788788198,0.740698118818428,0.4914439812750015,0.7889582796870058,0.6978538501994773,0.7202287621924215,0.4818521524145299,0.5446744867782313,0.6217972741111494,0.8303796047581985,0.9229529067924075,0.9698018003184298,0.7884300230662119,0.7881894713812312,0.6673586933652127,0.9505240710952021,0.8460264248417089,0.983893666927287,0.9985926505082096,0.9984362783424551,0.9832681782642689,0.9906176700547302,0.9873338545738859,0.9670054730258014,0.9721657544956998,0.9906176700547302,0.9401094605160282,0.9913995308835027,0.9698201720093823,0.9867083659108679,0.9917122752150117,0.9974980453479281,0.9931196247068022
2023-05-06 10:53:16.399041,8,0.00017473,0.02124583371364044,0.020175774571137225,0.7426741720397061,0.427994081811546,0.7902230836439482,0.6880507912305757,0.695775685993497,0.49004800478385446,0.5850757602275094,0.6366013818109614,0.8597073944335547,0.9275797765123137,0.9714347243129379,0.7859720312505204,0.803755514857342,0.6627975503093562,0.9538869139034848,0.8612098855141889,0.9841542872035445,0.9985926505082096,0.998123534010946,0.9842064112587959,0.9887412040656763,0.9876465989053949,0.9701329163408913,0.9712275215011728,0.9904612978889757,0.9437060203283816,0.9912431587177483,0.9679437060203284,0.9871774824081313,0.9917122752150117,0.9973416731821736,0.9940578577013292
2023-05-06 11:43:10.650762,9,0.0001515,0.020344895169803492,0.021362271752634415,0.7451992509212876,0.4608310093320888,0.8045357091717508,0.7023217777200519,0.7185824984788722,0.5216473100741905,0.5813046285095617,0.6483797709094817,0.8085195451985009,0.9282851271990634,0.9762692113330149,0.8034681085977144,0.782130974400958,0.6287444541383229,0.9556318537797192,0.857336784976024,0.9847172270002607,0.9985926505082096,0.998123534010946,0.983580922595778,0.9903049257232213,0.9896794370602033,0.9704456606724003,0.9738858483189993,0.9926505082095387,0.9448006254886631,0.9910867865519938,0.9710711493354183,0.9867083659108679,0.9906176700547302,0.9971853010164191,0.9920250195465207
